timeStamp,goundSteering, group_14
1652734661587145,0,0.190868
1652734666190839,-0,0
1652734666914909,-0,0
1652734667009779,-0,0
1652734667133706,-0,0
1652734667226527,-0,0
1652734667326952,-0,0
1652734667432130,-0,0
1652734667546200,-0,0
1652734667634214,-0,0
1652734667738627,-0,0
1652734667840283,-0,0
1652734667946164,-0,0
1652734668058806,-0,0.216494
1652734668168196,-0,0.213284
1652734668264281,0.0509833,0.266041
1652734668360903,0.0779797,0.198946
1652734668471833,0.0629856,0.218669
1652734668565948,0.0629856,0.21348
1652734668679170,0.0599851,0.178411
1652734668777355,0.0599851,0.156176
1652734668884503,0.0629856,0.163911
1652734668994522,0.0599851,0.26531
1652734669097688,0.0629856,0.17506
1652734669182137,0.0599851,0.134236
1652734669300521,0.0629856,0.146632
1652734669409395,0.0629856,0.147293
1652734669506995,0.0629856,0.147677
1652734669615744,0.0629856,0.14801
1652734669712104,0.0809714,0.157667
1652734669829932,0.0959743,0.216777
1652734669929688,0.0929737,0.170212
1652734670026266,0.0959743,0.177329
1652734670152043,0.116961,0.176149
1652734670257008,0.137956,0.171526
1652734670346462,0.0719785,0.175111
1652734670441218,0.0629856,0.202322
1652734670555254,0.0629856,0.198665
1652734670657745,0.0629856,0.261077
1652734670783180,0.134955,0.249055
1652734670870379,0.134955,0.246955
1652734670967331,0.134955,0.256331
1652734671070845,0.134955,0.331717
1652734671186100,0.131955,0.3879
1652734671287687,0.131955,0.447188
1652734671380859,0.134955,0.47523
1652734671481771,0.134955,0
1652734671585900,0.0599851,0
1652734671698719,-0,0
1652734671797421,-0.287896,0
1652734671884141,-0,0
1652734672006033,-0,0
1652734672104936,-0,0
1652734672213102,0.278903,0
1652734672307750,0.290888,0
1652734672370320,-0,0
1652734672521939,-0,0
1652734672624992,-0,0
1652734672729156,-0.290888,-0.12713
1652734672819860,-0.290888,-0.114207
1652734672934573,-0,-0.115689
1652734673030799,-0,-0.132888
1652734673101583,-0.0659685,-0.145092
1652734673261134,-0.122953,-0.159261
1652734673343967,-0,-0.166754
1652734673413633,-0.0569756,-0.188435
1652734673531876,-0.134946,-0.199011
1652734673661871,-0.116952,-0.212362
1652734673763592,-0.113951,-0.221391
1652734673834609,-0.14994,0
1652734673980928,-0.137947,0
1652734674040247,-0,0
1652734674144625,0.0120023,0
1652734674251107,0.00900175,0
1652734674357664,0.0209952,0
1652734674456783,0.0120023,0
1652734674573274,-0,0
1652734674672162,-0,0
1652734674779187,0.0389898,0
1652734674904886,0.0479916,0
1652734675008809,-0,0
1652734675081065,0.0150029,0
1652734675192203,0.0120023,0
1652734675293700,0.00300058,0
1652734675394313,0.0329887,0.226068
1652734675508870,0.0599851,0.301296
1652734675605079,0.0569845,0.18256
1652734675713051,0.0569845,0.212567
1652734675816835,0.0869726,0.334982
1652734675932379,0.0539839,0.358158
1652734676029121,0.0269964,0.262656
1652734676132837,0.0959743,0.27329
1652734676238914,0.107968,0
1652734676343915,0.143957,0
1652734676451529,0.146949,0
1652734676554400,0.143957,0
1652734676654824,0.140956,0
1652734676758442,0.0509833,0
1652734676866776,-0,0
