timeStamp,goundSteering, group_14, time
1652789795720967,-0,0,1441
1652789795821544,-0.18593,0,1650
1652789795935317,-0,0,848
1652789796026923,-0,0,775
1652789796128163,-0,0,497
1652789796235156,-0,0,1736
1652789796349823,-0,0,1261
1652789796444243,-0,0,1404
1652789796560428,-0,0,1442
1652789796649058,-0,0,2248
1652789796764370,0.125962,0,1380
1652789796858075,0.122962,0,1814
1652789796968796,0.0749791,0,2273
1652789797078867,0.0329887,0,880
1652789797177560,0.0120023,0,1333
1652789797272602,-0,0,3451
1652789797394227,-0,0,3629
1652789797487922,-0,0,1536
1652789797597066,-0,0,1513
1652789797686737,0.0239958,0.158773,1481
1652789797796995,0.0239958,0.0980453,1993
1652789797905480,0.0239958,0.124355,2524
1652789798010894,0.0239958,0.103427,1341
1652789798103205,0.0929737,0.111394,2673
1652789798223325,0.0929737,0.200671,914
1652789798325393,0.0899731,0.198244,597
1652789798416506,0.0689779,-0.0937835,1157
1652789798507286,0.098966,-0.0855053,586
1652789798603101,0.098966,-0.070732,2873
1652789798728805,0.182938,0,653
1652789798808257,0.212926,-0.0459041,1546
1652789798937573,0.290888,-0.0809744,2259
1652789799035410,0.290888,-0.0784103,2030
1652789799155905,0.290888,0.00334447,651
1652789799234746,0.290888,0.208157,1034
1652789799346369,0.290888,0,1287
1652789799452517,0.242914,0.215877,2217
1652789799564850,-0,0.216084,1930
1652789799665875,-0,0,2217
1652789799778199,-0,0,1187
1652789799870535,-0,0,1398
1652789799974930,-0.053975,0,1623
1652789800088861,-0,0,1822
1652789800185130,0.188939,0,2611
1652789800286934,-0,0.226731,848
1652789800377835,-0,0,1642
1652789800499829,0.0120023,0,1611
1652789800700283,-0,0,828
1652789800798370,-0,0,2752
1652789800910010,-0,0,2554
1652789801013875,-0,0,1077
1652789801106252,-0,0.0821675,1633
1652789801217238,-0,0,1575
1652789801320470,-0,0.207491,5951
1652789801430964,-0,0,3205
1652789801533801,0.0629856,0,2699
1652789801659413,0.290888,0,718
1652789801737464,-0,0,1472
1652789801841202,-0,0,2155
1652789801948407,-0,0,2699
1652789802058436,-0,0,1467
1652789802153225,-0,0,650
1652789802217131,-0,0,1778
1652789802360072,-0.0269875,0,1438
1652789802439914,-0.290888,0,2900
1652789802542170,-0,0,3381
1652789802654205,-0,0,1328
1652789802747397,-0,0,1158
1652789802839826,0.0479916,0.161254,1761
1652789802948019,0.221928,0.203337,2681
1652789803066591,0.125962,0.146484,1664
1652789803187297,0.00600117,0.151808,2143
1652789803297489,0.233921,0.203199,517
1652789803370211,0.206934,0.187736,1622
1652789803473491,0.197932,0.111065,7136
1652789803605259,0.164943,0.200583,904
1652789803684639,0.164943,0.181701,5627
1652789803799871,0.140956,0.155595,1498
1652789803905674,0.0749791,0.200599,1249
1652789804002825,0.0150029,0,1214
1652789804105594,-0,0,3941
1652789804218722,-0,0,1514
1652789804315407,-0,0,3078
1652789804426523,-0,0,1372
1652789804517046,-0,0,1260
1652789804621971,0.0899731,0,2470
1652789804731041,0.185939,0,968
1652789804837350,0.206934,0,859
1652789804933419,0.173945,0,948
1652789805042282,0.0539839,0,1769
1652789805142239,-0,0,1573
1652789805246158,-0,0,2101
1652789805353628,-0,-0.203685,2351
1652789805447379,-0,-0.122401,995
1652789805545896,-0.239914,-0.140658,1534
1652789805644891,-0,-0.15746,2790
1652789805751285,-0,-0.174377,2446
1652789805847113,-0,-0.201963,497
1652789805950438,-0.137947,-0.201232,575
1652789806050546,-0,-0.200089,869
1652789806157572,-0,-0.202956,3082
1652789806267066,-0.152941,-0.202101,507
1652789806371144,-0,-0.208832,868
1652789806483071,-0,-0.209517,860
1652789806574316,-0.290888,-0.213474,4231
1652789806685241,-0.290888,-0.218051,1193
1652789806783778,-0.290888,-0.223952,1257
1652789806898521,-0,-0.223984,1286
1652789806993383,-0,-0.220216,2275
1652789807097757,-0.014994,-0.217299,5125
1652789807213169,-0.290888,0,1031
1652789807307109,-0,0,4266
1652789807430375,-0,-0.227277,1071
1652789807507674,-0.104958,0,2494
1652789807620347,-0.0989571,0,2466
1652789807729395,-0,0,2222
1652789807829177,-0,0,1003
1652789807912453,-0,0,1579
1652789808010541,-0.0599762,0,8696
1652789808137272,-0,0,1811
1652789808246692,-0,0,2351
1652789808353989,-0,0,608
1652789808427423,0.0120023,0.135264,3015
1652789808549658,0.290888,0.168597,2138
1652789808667494,0.290888,0.171818,1169
1652789808742514,-0,0.165579,1910
1652789808849749,-0,0.200606,4598
1652789808971062,0.290888,0.200573,598
1652789809064651,0.290888,0.18948,2723
1652789809165294,0.257917,0.200883,2026
1652789809286741,-0,0.203766,942
1652789809369082,0.272911,0.203986,1851
1652789809482514,0.290888,0.203083,2545
1652789809576772,0.290888,0.205928,1606
1652789809679847,-0,0,1604
1652789809792652,-0,0,1718
1652789809903406,0.188939,0,1339
1652789809998926,0.290888,0,4085
1652789810120250,-0,0,1985
1652789810205601,-0,-0.331204,1772
1652789810307002,0.0150029,0,1685
1652789810413099,0.125962,0,2129
1652789810524042,0.137956,0,1806
1652789810625020,0.137956,0,1392
1652789810721926,0.134955,0,1654
1652789810821414,0.143957,0,1625
1652789810942710,0.0659773,0,1426
1652789811027857,-0,0,956
1652789811140134,-0,0,2210
1652789811245929,-0,0,2295
1652789811349106,0.0749791,0,2164
1652789811446718,0.122962,0,2065
1652789811550899,-0,0,2657
1652789811649555,-0,0,1614
1652789811765697,-0,0,4111
1652789811864975,-0,0,1731
1652789811961719,-0,0,1386
1652789812075340,-0,0,1914
1652789812174516,-0,0,1438
1652789812272889,-0,0,1971
1652789812390185,-0,0,2660
1652789812494847,-0,0,1529
1652789812593549,-0,0,5121
1652789812705255,-0,0,526
1652789812797551,-0,0,3377
1652789812903629,-0,0,2330
1652789813008751,-0,0,2142
1652789813108682,-0,0,1149
1652789813213573,-0,0,710
1652789813314808,-0,0,1638
1652789813399988,-0,0,2908
1652789813539365,-0,0,1133
1652789813632302,-0,0,1309
1652789813734030,-0,0,5029
1652789813851924,-0,0,1706
1652789813944564,-0,0,2898
1652789814051687,-0,0,2830
1652789814146574,-0,0,5111
1652789814260104,-0,0,1683
1652789814357174,-0,0,4278
1652789814468063,-0,0,1907
