timeStamp,goundSteering, group_14
1652775516762693,-0,0
1652775521028516,-0,0
1652775521650147,-0,0
1652775521745961,-0,0
1652775521854831,-0,0
1652775521955350,-0,0
1652775522089951,-0,0
1652775522196482,-0,0
1652775522274576,-0,0
1652775522385237,-0,0
1652775522486008,-0,0
1652775522582852,-0,0
1652775522697241,-0,0
1652775522796158,-0,0
1652775522906783,-0,0
1652775523018793,-0,0
1652775523111166,-0,0
1652775523217730,-0,0
1652775523341645,-0,0
1652775523427944,-0,0
1652775523513713,-0,0
1652775523616132,0.0719785,0.199082
1652775523737804,0.0719785,0.205395
1652775523832663,0.0719785,0.186086
1652775523946904,0.0719785,0.13864
1652775524058208,0.0719785,0.153202
1652775524151399,0.0719785,0.159473
1652775524252557,0.0719785,0.175798
1652775524357344,0.0749791,0.166446
1652775524443305,0.149949,0.178026
1652775524548220,0.149949,0.218035
1652775524661664,0.131955,0.199159
1652775524764128,0.0929737,0.24326
1652775524866531,0.0659773,0.252844
1652775524989969,0.0599851,0
1652775525086131,0.0569845,0
1652775525208253,0.0569845,0
1652775525304729,0.0749791,0
1652775525401944,0.0749791,0.155289
1652775525497855,0.0779797,0.204947
1652775525608558,0.0779797,0
1652775525707676,0.0779797,0
1652775525798267,0.0779797,0
1652775525907610,0.101967,0
1652775526013254,0.11396,0
1652775526134436,0.110968,0
1652775526227439,0.11396,0
1652775526338299,0.110968,0
1652775526428295,0.110968,0
1652775526542328,0.110968,0
1652775526640702,0.110968,0
1652775526735772,0.110968,0
1652775526857269,-0,0
1652775526962280,-0,0
1652775527058181,-0,0
1652775527152158,-0,0
1652775527266071,-0.113951,-0.152277
1652775527362196,-0,-0.138006
1652775527460910,-0.0179858,-0.167432
1652775527581994,-0.0509744,-0.181509
1652775527696086,-0,-0.204493
1652775527789162,-0,-0.182349
1652775527885162,-0,-0.196777
1652775527997145,-0.0899643,-0.224476
1652775528101101,-0.143948,-0.247985
1652775528196534,-0.143948,-0.238446
1652775528292162,-0.179929,-0.281619
1652775528428158,-0.0899643,-0.306676
1652775528528490,-0.0899643,-0.312304
1652775528609267,-0,-0.315798
1652775528649089,-0,0
1652775528810074,-0,0
1652775528874972,-0,0
1652775528965682,-0.0239869,0
1652775529075384,-0.14694,0
1652775529170300,-0,0
1652775529288791,-0,0
1652775529442729,-0,0
1652775529524494,-0,0
1652775529596564,0.146949,0
1652775529726005,-0,0.216415
1652775529852755,-0,0.178793
1652775529915318,-0,0.204185
1652775530034126,0.161943,0.204842
1652775530116547,0.143957,0.272044
1652775530247383,0.0929737,0.224347
1652775530357877,0.0569845,0.235958
1652775530433815,0.0269964,0
1652775530534444,0.0179946,0
1652775530671844,0.0120023,0
1652775530787672,0.0599851,0
1652775530833547,0.0809714,0.284174
1652775530957140,0.0899731,0.277283
1652775531057359,0.206934,0
1652775531181192,0.236922,0.166086
1652775531300588,0.242914,0.236245
1652775531400324,0.0959743,0
1652775531512654,0.0179946,0
1652775531575085,-0,0.299776
1652775531688247,0.0120023,0
1652775531789892,0.0509833,0
1652775531894820,0.0509833,0
1652775532015944,0.00300058,0
1652775532096924,0.0239958,0
1652775532225177,0.029997,0
1652775532317004,0.0120023,0
1652775532438125,-0,0
1652775532522021,-0,0
1652775532618440,-0,0.118092
1652775532752868,0.131955,0.154108
1652775532832213,0.251916,0.138287
1652775532927674,0.290888,0.156146
1652775533039537,0.290888,0.149479
1652775533166534,0.185939,0.184481
1652775533253933,-0,0.191184
1652775533358213,-0,0
1652775533461018,-0,0
1652775533581746,-0,0
1652775533663545,-0,0
1652775533773157,-0,0
1652775533879999,0.290888,0
1652775533973688,0.290888,0
1652775534083498,-0,0
1652775534193869,-0,-0.373497
1652775534293280,-0.0359804,0
1652775534408179,-0,0
1652775534500631,-0,0
1652775534610053,-0,0
1652775534706352,-0,0
1652775534822033,-0,0
1652775534915532,-0,0
1652775535017460,-0,0
1652775535132891,-0,0
1652775535253293,-0,0
1652775535322208,-0,0
1652775535445778,-0,0
1652775535544931,-0,0
1652775535643962,-0,0
1652775535749979,-0,0
1652775535860846,-0,0
1652775535965012,0.206934,0
1652775536057802,-0,0
1652775536152691,-0,0
1652775536271735,0.260909,0
1652775536358527,-0.104958,0
1652775536465525,-0,0
1652775536594674,-0,0
1652775536675033,-0,0
1652775536797039,-0,0
1652775536841920,-0,0
1652775536988029,0.203933,0.0962534
1652775537123476,0.200933,0.144073
1652775537156581,0.185939,0.133394
1652775537315116,0.179937,0.135294
1652775537406198,0.221928,0.191184
1652775537497221,0.128963,0.14889
1652775537613041,-0,0.196659
1652775537720504,-0,0
1652775537815681,-0,0
1652775537922190,-0,0
1652775538025937,-0,0
1652775538124861,0.203933,0
1652775538194190,0.0929737,0
1652775538313783,0.0899731,0
1652775538440741,0.0689779,0
1652775538553984,0.0239958,0
1652775538630164,-0,0
1652775538739292,-0,-0.362544
1652775538849000,-0,0
1652775538941001,-0,0
1652775539044398,-0.0419816,0
1652775539155320,-0.0239869,0
1652775539253685,-0,0
1652775539363760,-0,0
1652775539463834,-0,0
1652775539572794,-0,0
1652775539675379,-0,0
1652775539806633,-0,0
1652775539882890,-0,0
1652775539995822,0.125962,0
1652775540095108,-0,0
1652775540226169,-0,0
1652775540305931,-0,0
