timeStamp,goundSteering, group_14
1652734915832673,0,0
1652734919913079,-0,0
1652734920276514,-0,0
1652734920381412,-0,0
1652734920490091,-0,0
1652734920589009,-0,0
1652734920688489,0.0150029,0
1652734920792663,0.0749791,0
1652734920923872,0.0749791,0
1652734921011748,0.0659773,0
1652734921046101,0.0659773,0
1652734921213649,0.0629856,0
1652734921319003,0.0659773,0
1652734921444449,0.0659773,0
1652734921541049,0.0659773,0
1652734921637262,0.0659773,0
1652734921746240,0.0659773,0
1652734921793138,0.0659773,0
1652734921910736,0.0659773,0
1652734922073470,0.0659773,0
1652734922102591,0.0239958,0
1652734922278392,-0,0
1652734922355672,-0,0
1652734922452669,-0,0
1652734922579512,-0,0
1652734922646114,-0,0
1652734922780056,-0,0
1652734922837048,-0,0
1652734922993695,-0,0
1652734923094902,-0,0
1652734923203260,-0,0
1652734923307713,-0,0
1652734923398261,-0,0
1652734923516680,-0,0
1652734923616120,-0,0
1652734923717662,-0,0
1652734923819856,-0,0
1652734923922824,-0,0
1652734924011969,-0,0
1652734924119268,-0,0
1652734924215320,-0,0
1652734924318318,-0,0
1652734924439903,-0,0
1652734924545973,-0,0
1652734924649426,-0,0
1652734924745685,-0,0
1652734924870222,-0,-0.348123
1652734924954375,-0.0329798,-0.310168
1652734925061699,-0.0809625,-0.236427
1652734925167423,-0.0809625,-0.216085
1652734925270195,-0.0809625,-0.255008
1652734925373172,-0.0809625,-0.250517
1652734925479401,-0.0809625,-0.216874
1652734925584343,-0.0809625,-0.266252
1652734925684290,-0.0809625,-0.213108
1652734925785119,-0.0809625,-0.280887
1652734925886657,-0.0809625,-0.169413
1652734925996237,-0.0809625,-0.191013
1652734926100067,-0.0809625,-0.150003
1652734926196430,-0.0779708,-0.120173
1652734926300428,-0.0809625,-0.131883
1652734926413796,-0.0809625,-0.118632
1652734926515096,-0.0899643,-0.183298
1652734926612647,-0.0899643,-0.154601
1652734926714942,-0.0929649,-0.101063
1652734926826862,-0.0989571,-0.109224
1652734926936536,-0.0989571,-0.111441
1652734927028790,-0.113951,-0.152962
1652734927128024,-0.152941,-0.140375
1652734927233965,-0.155942,-0.121143
1652734927338150,-0.167935,-0.124355
1652734927430440,-0.218918,-0.157715
1652734927539809,-0.248906,-0.226198
1652734927641158,-0.245906,-0.283492
1652734927760221,-0.215918,-0.295441
1652734927867206,-0.179929,-0.29804
1652734927957309,-0.182929,-0.292912
1652734928062423,-0.170936,-0.375874
1652734928167196,-0.0929649,0
1652734928285310,-0,0
1652734928373275,-0,0
1652734928503587,-0,0
1652734928583472,0.0749791,0
1652734928672891,0.0599851,0
1652734928780537,-0,0
1652734928894036,-0,0
1652734928995564,-0,0
1652734929092974,-0,0
1652734929200778,-0,0
1652734929310480,-0,0
1652734929402130,-0,0
1652734929464363,-0,0
1652734929615843,-0,0
1652734929678694,-0,0
1652734929786372,-0,0
1652734929929827,-0,0
1652734929990081,-0,0
1652734930106833,-0,0
1652734930205834,-0,0
1652734930343229,-0,0
1652734930405118,-0,0
1652734930524411,-0,0
1652734930661678,-0,0
1652734930716617,-0,0
1652734930822336,-0,0
1652734930940709,-0,0
1652734931038001,-0,0
1652734931136756,-0,0
1652734931238447,-0,0
1652734931341763,-0,0
1652734931448648,-0,0
1652734931560313,-0,0
1652734931684645,-0,0
1652734931764389,-0.00899288,0
1652734931907413,-0.0329798,0
1652734931977562,-0,0
1652734932079308,-0,0
1652734932177080,-0,0
1652734932300427,-0,0
1652734932403861,-0,0
1652734932497869,-0,0
1652734932601658,-0,0
1652734932724098,-0,0
1652734932806508,-0,0
1652734932930244,-0,0
1652734933016804,-0,0
1652734933133189,-0,0
1652734933221725,-0,0
1652734933328428,-0,0
1652734933459507,-0,0
1652734933542965,-0,0
1652734933644951,-0,0
1652734933778000,-0,0
1652734933851363,-0.0239869,0
1652734933963994,-0,0
1652734934063063,-0,0
1652734934174369,-0,0
1652734934272308,-0,0
1652734934384725,-0,0
1652734934481175,-0,-0.161375
1652734934580081,-0,-0.166478
1652734934693830,-0.00299171,-0.139786
1652734934796815,-0.137947,-0.145258
1652734934892079,-0.131946,-0.098223
1652734934994638,-0.131946,-0.0877371
1652734935101962,-0.131946,-0.102154
1652734935200968,-0.131946,-0.12144
1652734935311367,-0.122953,-0.07792
1652734935400415,-0.122953,-0.108328
1652734935510270,-0.122953,-0.170883
1652734935617760,-0.122953,-0.08958
1652734935711768,-0.122953,-0.081452
1652734935819708,-0.122953,-0.123266
1652734935931836,-0.122953,-0.145811
1652734936031461,-0.14994,0
1652734936133906,-0.200924,-0.141897
1652734936231125,-0.209925,-0.176276
1652734936341664,-0.200924,0
1652734936444967,-0,0
1652734936545627,-0,0
1652734936650107,-0,0
1652734936753426,-0,0
1652734936851847,-0,0
1652734936961193,-0.125954,0
1652734937075940,-0.125954,0
1652734937161207,-0,0
1652734937274083,-0,0
1652734937364834,-0,0
1652734937477672,-0,0
1652734937582049,-0,0
1652734937705045,-0,0
1652734937788065,-0.0989571,0
1652734937892347,-0.0839631,0
1652734938004305,-0,0
1652734938110806,-0,0
1652734938142831,-0,0
1652734938308409,-0,0
1652734938352919,-0,0
1652734938480831,-0,0
1652734938602881,-0,0
1652734938693331,-0,0
1652734938808688,-0,0
1652734938924503,-0,0
1652734939031939,-0.00899288,0
1652734939128355,-0,0
1652734939234634,-0,0
1652734939339435,-0,0
1652734939412411,-0,0
1652734939532537,-0,0
1652734939604992,-0,0
1652734939735138,-0,0
1652734939828886,-0,0
1652734939941812,-0,0
1652734940032772,-0,0
1652734940130745,-0,0
1652734940255453,-0,0
1652734940347802,-0,0
1652734940441688,0.161943,0
1652734940545006,0.188939,0
1652734940667655,-0,0
1652734940764943,-0,0
1652734940876934,-0,0
1652734940979721,-0,0
1652734941090602,-0,0
1652734941187254,-0.104958,-0.268627
1652734941276876,-0,-0.256743
1652734941391763,-0,-0.255182
1652734941482793,-0.125954,-0.204018
1652734941590015,-0.122953,-0.200848
1652734941690554,-0.116952,-0.173561
1652734941794269,-0.0989571,-0.215903
1652734941898468,-0.0779708,-0.167532
1652734942006871,-0.0779708,-0.144554
1652734942121400,-0.0779708,-0.219852
1652734942227162,-0.0779708,-0.185091
1652734942322310,-0.0779708,-0.1834
1652734942425502,-0.0779708,-0.162926
1652734942529700,-0.014994,-0.225959
1652734942627911,-0,-0.250247
1652734942728178,-0,-0.167532
1652734942831306,-0,-0.191184
1652734942948397,-0.116952,-0.220494
1652734943045140,-0.0689691,-0.221924
1652734943148936,-0,-0.196318
1652734943253515,-0,-0.200467
1652734943360123,-0,-0.156971
1652734943458533,-0.0119935,-0.172757
1652734943560805,-0.0119935,-0.224024
1652734943659956,-0.122953,-0.203833
1652734943768959,-0.140948,-0.166723
1652734943879366,-0.0599762,-0.0890496
1652734943981395,-0.116952,-0.145748
1652734944077146,-0.287896,-0.189412
1652734944181516,-0.290888,-0.256907
1652734944288376,-0.290888,-0.276219
1652734944390379,-0.290888,-0.309199
1652734944491502,-0.290888,-0.557431
1652734944591072,-0.251907,-0.318088
1652734944694342,-0.00299171,-0.347062
1652734944814060,-0,-0.370059
1652734944909713,-0.158942,-0.228649
1652734945010290,-0.0899643,-0.223654
1652734945119783,-0,0
1652734945229355,-0,0
1652734945326889,-0.116952,0
1652734945423728,-0.113951,0
1652734945546926,-0,0
1652734945634304,-0.0209863,0
1652734945740258,-0.278895,0
1652734945843574,-0.254908,0
1652734945942599,-0,0
1652734946046495,-0,0
1652734946110886,-0,0
1652734946214796,-0,0
1652734946357362,-0,0
1652734946460965,-0,0
1652734946575664,-0.0599762,0
1652734946692957,-0,0
1652734946742538,-0,0
1652734946856129,-0,0
1652734946986430,-0,0
1652734947109987,-0,0
1652734947162669,-0.0299881,0
1652734947264095,-0.0359804,0
1652734947372789,-0.0179858,0
1652734947479076,-0,0
1652734947619277,-0,0
1652734947725532,-0,0
1652734947793638,-0,0
1652734947903581,-0,0
1652734948007309,-0,0
1652734948122410,-0,0
1652734948245260,-0,0
1652734948311763,-0,0
1652734948417624,-0,0
1652734948527266,-0,0
1652734948626869,0.00300058,0
1652734948743567,0.0749791,0
1652734948856899,0.098966,0
1652734948939718,0.0809714,0
1652734949045928,0.0629856,0
1652734949155297,0.0599851,0
1652734949258285,0.0509833,0
1652734949362012,0.0239958,0
1652734949463365,0.0120023,0
1652734949560339,0.0120023,0
1652734949666644,0.00900175,0
1652734949777076,-0,0
1652734949882092,-0,0
1652734949984368,-0,0
1652734950092959,-0,0
1652734950220233,-0,0
1652734950289683,-0,0
1652734950389038,-0,0
1652734950490894,-0,0
1652734950592547,-0,0
1652734950700531,-0,0
1652734950804830,0.00300058,0
1652734950916533,0.0479916,0
1652734951011680,0.0599851,0
1652734951116704,0.0599851,0
1652734951223841,0.0719785,0
1652734951327040,0.0749791,0
1652734951425054,0.0749791,0
1652734951540915,0.0749791,0
1652734951637191,0.0719785,0
1652734951729445,0.0629856,0
1652734951837274,0.0599851,0
1652734951940394,-0,0
1652734952050460,-0.0269875,-0.0756131
1652734952167068,-0.173936,-0.212546
1652734952248846,-0.173936,-0.0892683
1652734952360764,-0.200924,-0.174507
1652734952460864,-0.290888,0.0343213
1652734952571062,-0.290888,0.060736
1652734952669735,-0.290888,-0.0409607
1652734952773528,-0.290888,-0.200132
1652734952876294,-0.290888,-0.139548
1652734952977254,-0.290888,-0.132956
1652734953087641,-0.278895,-0.0769453
1652734953193141,-0.143948,-0.145679
1652734953302139,-0,-0.136864
1652734953401056,-0,0
1652734953512891,-0,0
1652734953604556,-0,0
1652734953708121,-0.0809625,-0.248963
1652734953808442,-0.0809625,-0.26543
1652734953916240,-0.164934,-0.224711
1652734954015478,-0.164934,0.0277706
1652734954124582,-0.0809625,0
1652734954220590,-0,0.291457
1652734954323658,-0,0.380506
1652734954529179,-0,0
1652734954636506,-0.167935,0
1652734954729247,-0.18893,0
1652734954829946,-0.14994,0
1652734954939435,-0.122953,0
1652734955035487,0.0569845,0
1652734955194654,0.0569845,0
1652734955210736,0.212926,0
1652734955364514,0.254917,0
1652734955435588,-0,0.161837
1652734955557081,-0,0
1652734955645174,-0,0
1652734955770742,-0,0
1652734955863989,-0.278895,0
1652734955979025,-0,0
1652734956049825,-0,0
1652734956154195,-0,0
1652734956267725,-0,0
1652734956398066,-0,0
1652734956470963,-0,0
1652734956587187,-0,-0.409246
1652734956684583,-0,-0.347888
1652734956784824,-0,-0.328901
1652734956926149,-0.119952,-0.222974
1652734956990307,-0.113951,-0.253322
1652734957100689,-0.0599762,-0.301951
1652734957199969,-0.0509744,-0.27234
1652734957324801,-0.0419816,-0.202322
1652734957409368,-0.0299881,-0.244141
1652734957525265,-0.0299881,-0.104556
1652734957636957,-0.0299881,-0.128145
1652734957751661,-0.0329798,-0.160445
1652734957833262,-0.0329798,-0.161642
1652734957953398,-0.125954,-0.137909
1652734958052765,-0.176937,-0.15173
1652734958152826,-0.191931,-0.199337
1652734958256511,-0.2639,-0.165149
1652734958355487,-0.290888,-0.135867
1652734958464402,-0.290888,-0.186896
1652734958580436,-0.275894,-0.167432
1652734958656657,-0.173936,-0.224112
1652734958768029,-0.101958,0
1652734958873274,-0.137947,0
1652734958976688,-0.140948,0
1652734959088981,-0.0359804,0
1652734959195652,-0,0.372988
1652734959288917,-0,0
1652734959389402,0.188939,0
1652734959500571,-0,0
1652734959602758,-0,0
1652734959682558,-0,0
1652734959797724,-0,0
1652734959910424,-0,0
1652734960027703,-0,0
1652734960110325,-0,0
1652734960235993,-0,0
1652734960319067,-0.0959654,0
1652734960418164,-0,0
1652734960518929,-0,0
1652734960620863,-0,0
1652734960741746,-0,0
1652734960835192,-0,0
1652734960938758,-0,0
1652734961038378,-0,0
1652734961145573,-0,0
1652734961255583,-0,0
1652734961355095,-0,0
1652734961459174,-0,0
1652734961554713,-0,0
1652734961671294,-0,0
1652734961757851,-0,0
1652734961857728,-0,0
1652734961981460,-0,0
1652734962068175,0.143957,0
1652734962171914,-0,0.437338
1652734962276323,-0,0
1652734962389564,-0,0
1652734962490589,-0,0
1652734962560220,-0,0
1652734962675375,-0,0
1652734962758620,0.290888,0
1652734962889910,-0,0
1652734962995766,-0,0
1652734963103181,-0,0
1652734963207938,-0,0
1652734963285609,-0,0
1652734963398788,-0.014994,-0.15625
1652734963500654,-0.00599229,-0.178267
1652734963618634,-0.0959654,-0.206723
1652734963736861,-0.113951,-0.199803
1652734963836661,-0.242905,-0.10956
1652734963934460,-0.242905,-0.134321
1652734964006453,-0.236913,-0.159738
1652734964138576,-0.191931,-0.127038
1652734964239874,-0.0989571,-0.131212
1652734964321609,-0.0509744,-0.100847
1652734964424667,-0,-0.11884
1652734964552124,-0.140948,-0.106514
1652734964634445,-0.143948,-0.113639
1652734964872702,-0.281895,-0.181913
1652734964940485,-0.290888,0
1652734965046625,-0.290888,-0.165726
1652734965153715,-0.290888,-0.183586
1652734965256004,-0.290888,0
1652734965358630,-0.290888,0
1652734965474481,-0,0
1652734965589998,-0,0
1652734965693474,-0,0.380506
1652734965798382,-0,0
1652734965886213,0.290888,0
1652734966006348,-0,0
1652734966109222,-0,0
1652734966209598,-0,0
1652734966308537,-0,0
1652734966405467,-0,0
1652734966510769,-0,0
1652734966624790,-0,0
1652734966732819,-0,0
1652734966823979,-0,0
1652734966930161,-0.152941,0
1652734967039281,-0,0
1652734967147376,-0,0
1652734967248972,-0.0239869,0
1652734967356652,-0,0
1652734967452443,-0,0
1652734967572736,-0,0
1652734967678898,-0,0
1652734967769234,-0,0
1652734967878595,-0,0
1652734967972817,-0,0
1652734968082295,-0,0
1652734968175583,-0,0
1652734968276673,-0,0
1652734968390250,-0,0
1652734968489777,-0.104958,0
1652734968587254,-0.14994,0
1652734968703162,-0,0
1652734968804424,-0,0
1652734968905782,-0.0509744,0
1652734969015474,-0.00299171,0
1652734969122845,-0.00299171,0
1652734969210881,-0,0
1652734969314147,-0,0
1652734969419166,-0,-0.0733973
1652734969536934,-0.170936,-0.137289
1652734969619513,-0.110959,-0.125769
1652734969738605,-0,-0.28473
1652734969840833,-0.0179858,-0.209722
1652734969954236,-0.0179858,0
1652734970065426,-0.0599762,-0.153544
1652734970151637,-0.0899643,-0.160901
1652734970252995,-0.0899643,-0.197396
1652734970350212,-0.0809625,-0.161678
1652734970465244,-0.14994,-0.173076
1652734970561227,-0.164934,-0.116709
1652734970663532,-0.128954,-0.134664
1652734970764832,-0.125954,-0.153544
1652734970870226,-0.125954,-0.174672
1652734970970797,-0.125954,-0.192169
1652734971077556,-0.104958,-0.176618
1652734971189204,-0.0599762,-0.122461
1652734971278903,-0.0479827,-0.125216
1652734971385509,-0.0359804,-0.139221
1652734971498182,-0.00299171,-0.156025
1652734971598186,-0,-0.164358
1652734971698399,-0,-0.173956
1652734971804930,-0,0
1652734971906629,-0,-0.125389
1652734972004788,-0,0
1652734972128641,-0.0119935,-0.146823
1652734972218290,-0.113951,-0.161092
1652734972302533,-0.0569756,-0.194152
1652734972389483,-0,-0.143383
1652734972491176,-0.116952,-0.16351
1652734972606819,-0.14994,-0.121492
1652734972686906,-0.14694,-0.119036
1652734972814191,-0.128954,-0.144874
1652734972930080,-0.128954,-0.178012
1652734973045679,-0.128954,0
1652734973115409,-0.0869637,0
1652734973246675,-0,0
1652734973349426,-0,0
1652734973413950,-0,0
1652734973541866,-0.203924,0
1652734973651498,-0.22492,0
1652734973766482,-0.18893,0
1652734973848691,-0,0
1652734973970160,-0,0
1652734974048957,-0,0
1652734974180199,0.143957,0
1652734974264652,0.098966,0
1652734974384261,-0,0
1652734974481591,-0,0
1652734974589852,-0,0
1652734974696056,-0,0
1652734974805751,-0,0
1652734974876618,-0,0
1652734975000316,0.00900175,0
1652734975086165,-0,0
1652734975207948,0.00300058,0
1652734975295503,0.131955,0
1652734975392557,0.119961,0
1652734975543263,0.0269964,0
1652734975607191,0.00600117,0
1652734975716224,-0,0
1652734975824128,-0,0
1652734975900617,0.0329887,0
1652734976003309,0.215927,0
1652734976127607,-0,0
1652734976219870,-0,0
1652734976330921,-0,-0.113062
1652734976441814,-0.236913,-0.173671
1652734976544748,-0.257908,0
1652734976654121,-0.227911,-0.154261
1652734976748268,-0.221919,0
1652734976841049,-0.200924,-0.215702
1652734976941430,-0.179929,-0.193688
