timeStamp,goundSteering, group_14
1652735593102193,0,0.260115
1652735597013536,-0,0
1652735597585648,-0,0
1652735597707798,-0,0
1652735597819359,-0,0
1652735597906077,-0,0
1652735598037440,-0,0
1652735598119606,-0,0
1652735598215713,-0,0
1652735598334772,-0,0
1652735598430565,-0,0
1652735598528770,-0,0
1652735598666807,-0,0
1652735598739613,-0,0
1652735598849808,-0,0
1652735598957017,-0,0
1652735599051403,-0,0
1652735599159406,-0,0
1652735599252927,-0,0
1652735599357162,-0,0
1652735599470113,-0,0
1652735599580063,-0,0
1652735599672232,-0,0
1652735599780589,-0,0
1652735599884059,-0,0
1652735599995730,-0,0
1652735600095634,-0,0
1652735600196475,0.0329887,0
1652735600301841,0.0809714,0
1652735600404652,0.125962,0.268019
1652735600512088,0.173945,0.188738
1652735600613053,0.0929737,0.215358
1652735600729092,0.0779797,0.231616
1652735600822618,0.0239958,0.233374
1652735600932490,0.0179946,0
1652735601030911,0.0209952,0
1652735601159185,0.0209952,0.214061
1652735601242871,0.0749791,0.262254
1652735601351289,0.083972,0.212432
1652735601453243,0.0150029,0.180407
1652735601556437,0.00900175,0.161375
1652735601674607,0.0120023,0.159055
1652735601773958,0.0569845,0.169692
1652735601876628,0.098966,0.237914
1652735601987991,0.125962,0.192048
1652735602084114,0.125962,0.205395
1652735602201090,0.128963,0.138453
1652735602284075,0.128963,0.193358
1652735602400923,0.128963,0.125285
1652735602512457,0.128963,0.178411
1652735602608734,0.125962,0.285161
1652735602718651,0.0809714,0.180682
1652735602820080,0.0719785,0.148001
1652735602922355,0.0749791,0.302215
1652735603020030,0.0749791,0.245673
1652735603129174,0.11396,0.25707
1652735603227321,0.11396,0.213181
1652735603332807,0.116961,0.303895
1652735603434159,0.170945,0.20621
1652735603539864,0.140956,0.357491
1652735603636431,0.122962,0.224449
1652735603753289,0.110968,0
1652735603842347,0.0120023,0
1652735603953593,-0,0
1652735604067735,-0,0
1652735604166942,-0,0
1652735604272704,-0,0
1652735604388499,-0,0
1652735604477115,-0,0
1652735604591958,-0,0
1652735604682407,-0,0
1652735604783612,-0,0
1652735604875605,-0,0
1652735604973074,-0,0
1652735605063068,-0,0
1652735605186186,-0,0
1652735605287889,-0,0
1652735605386361,-0,0
1652735605484239,-0,0
1652735605607396,-0,0
1652735605705647,-0,0
1652735605805657,-0,0
1652735605906176,-0.0119935,0
1652735606037589,-0.0239869,-0.182496
1652735606118007,-0.0779708,-0.199597
1652735606222533,-0.0779708,-0.205799
1652735606322827,-0.119952,-0.218372
1652735606455623,-0.14994,-0.227344
1652735606565043,-0.116952,0.0434509
1652735606636335,-0.0419816,0
1652735606746747,-0.0209863,0
1652735606851291,-0,0
1652735606951506,-0,0
1652735607051535,-0,0
1652735607167253,-0,0
1652735607277023,-0,0
1652735607370489,-0,0
1652735607470832,0.0569845,0
1652735607581985,0.0569845,0
1652735607680792,0.0569845,0
1652735607780406,0.0779797,0
1652735607895197,0.0779797,0.19448
1652735607986756,0.0779797,0.221417
1652735608096689,0.0779797,0.189988
1652735608198054,0.0629856,0
1652735608295520,0.0629856,0
1652735608407232,0.0629856,0
1652735608512390,0.0629856,0
1652735608599847,0.0629856,0
1652735608723674,0.0659773,0
1652735608815446,0.0659773,0
1652735608920070,0.0659773,0
1652735609033890,0.0659773,0.266252
1652735609136635,0.0659773,0.135224
1652735609237123,0.0659773,0.172953
1652735609349975,0.0599851,0.191502
1652735609444590,0.0599851,0.308221
1652735609540652,0.0599851,0
1652735609648973,0.0599851,0.159352
1652735609739957,0.0629856,0.203493
1652735609884645,0.0929737,0.18656
1652735609964217,0.0929737,0.213788
1652735610065199,0.083972,0.187429
1652735610184912,0.0719785,0.209222
1652735610298968,0.0629856,0.208056
1652735610402545,0.0749791,0.201701
1652735610485874,0.122962,0.168597
1652735610584501,0.15295,0.190639
1652735610697602,0.0689779,0.240773
1652735610727980,0.0239958,0.158384
1652735610904571,0.0239958,0
1652735610997431,0.0239958,0
1652735611105404,0.0209952,0.130292
1652735611198055,0.0809714,0.18794
1652735611244353,0.107968,0.291014
1652735611355535,0.134955,0.200797
1652735611543644,0.164943,0.224903
1652735611559537,0.170945,0.262693
1652735611722018,0.170945,0
1652735611767671,0.170945,0
1652735611900714,0.161943,0
1652735612026004,0.0209952,0
1652735612151929,-0,-0.502497
1652735612192883,-0,-0.579326
1652735612298572,-0,-0.58387
1652735612398533,-0.140948,-0.896055
1652735612512439,-0.290888,0
1652735612601989,-0.290888,0
1652735612701348,-0,0
1652735612800903,-0,0
1652735612955009,-0,-0.955176
1652735613054798,-0,-0.962994
1652735613187753,-0,-0.93044
1652735613271578,0.083972,0
1652735613349078,0.110968,0
1652735613449560,-0,0
1652735613550098,-0,0
1652735613655032,-0,0
1652735613767383,-0,0
1652735613864882,-0.18593,0
1652735613966353,-0.122953,0
1652735614077204,-0,0
1652735614166547,-0,0
1652735614262185,-0,0
1652735614372911,-0,0
1652735614472795,0.15595,0
1652735614601941,0.281904,0
1652735614705238,-0,0
1652735614799253,-0,-0.628796
1652735614904013,-0,0
1652735615014372,-0,0.121619
1652735615140940,-0.197923,0.0594537
1652735615228762,-0,0.0408694
1652735615321511,-0,0
1652735615433378,-0,0.394791
1652735615526042,-0,0
1652735615642795,0.131955,0
1652735615750676,0.143957,0
1652735615846147,0.0629856,0
1652735615952700,-0,0
1652735616048637,-0,0
1652735616166048,-0,0
1652735616266119,-0,0
1652735616382552,-0,0
1652735616486113,0.146949,0
1652735616566066,0.176946,0.0919387
1652735616668860,0.176946,0.0778565
1652735616770587,0.173945,0.0836966
1652735616871124,0.170945,0.0939475
1652735616980992,0.146949,0.132552
1652735617082923,-0,0.073939
1652735617195818,-0.122953,0.0911751
1652735617289866,-0.245906,0
1652735617400241,0.0239958,0.0956376
1652735617500727,0.137956,0.0979997
1652735617599046,0.161943,0.0957067
1652735617709386,0.134955,0.0959074
1652735617798147,0.134955,0.0880542
1652735617900348,0.122962,0.0617193
1652735618002082,0.125962,0.0676473
1652735618118233,0.125962,0.0725994
1652735618225382,0.125962,0.134075
1652735618313029,0.125962,0.135338
1652735618423887,0.125962,0.143452
1652735618515876,0.125962,0.091487
1652735618630053,0.122962,0.105798
1652735618727544,0.125962,0.127928
1652735618842664,0.125962,0.13864
1652735618930532,0.125962,0.143875
1652735619051153,0.125962,0.154997
1652735619133133,0.125962,0
1652735619241504,0.128963,0
1652735619343208,0.125962,0
1652735619457468,0.128963,0
1652735619547816,0.119961,0
1652735619655313,-0,0
1652735619761514,-0,0
1652735619876597,-0,0
1652735619961542,-0,0
1652735620065722,-0,0
1652735620165892,-0,-0.41241
1652735620272152,-0,0
1652735620380995,0.0599851,0
1652735620481371,0.188939,0
1652735620586288,-0,0
1652735620698581,-0,0
1652735620799924,-0,0
1652735620903015,-0,0
1652735621000606,-0,0
1652735621112898,-0,0
1652735621153772,0.224928,0
1652735621311667,0.224928,0
1652735621365739,0.179937,0
1652735621480788,-0,0
1652735621580593,-0,0
1652735621688525,-0,0
1652735621794006,-0,0
1652735621892429,-0,0
1652735622011216,-0,0
1652735622142327,-0,0
1652735622242306,-0,0
1652735622352877,-0,0
1652735622447554,-0,0
1652735622531940,-0,0
1652735622633153,-0,0
1652735622736062,-0,0
1652735622856437,-0,0
1652735622947670,0.0359893,0
1652735623048977,0.0659773,0
1652735623156948,0.0239958,0
1652735623256677,0.0239958,0
1652735623387262,0.0239958,0
1652735623479596,0.0239958,0
1652735623595967,0.0239958,0
1652735623680464,0.0209952,0
1652735623790605,-0,0
1652735623902727,-0,0
1652735624002513,-0,0
1652735624110742,-0,0
1652735624203608,-0,0
1652735624309361,-0.00299171,0
1652735624421498,-0.0329798,0
1652735624528545,-0.116952,0
1652735624609862,-0.0869637,0
1652735624714398,-0,0
1652735624826428,-0,0
1652735624933138,-0,0
1652735625034002,-0,0
1652735625136575,-0,0
1652735625243470,-0,0
1652735625347353,-0,0
1652735625446035,-0,0
1652735625562697,-0,0
1652735625654668,-0,0
1652735625760329,-0,0
1652735625858758,-0,0
1652735625972532,-0,0
1652735626079087,0.0599851,0
1652735626173307,0.0150029,0
1652735626272558,-0,0.269651
1652735626380004,0.00300058,0.229232
1652735626484056,0.0899731,0.22239
1652735626578478,0.0869726,0.242858
1652735626689174,0.0899731,0.227075
1652735626788309,0.161943,0.259287
1652735626893965,0.188939,0.174672
1652735627001075,-0,0.164752
1652735627113096,-0,0.148675
1652735627211561,0.0809714,0.1911
1652735627305129,0.161943,0.143892
1652735627411353,-0,0.165795
1652735627537789,0.164943,0.137066
1652735627618087,0.215927,0.153867
1652735627718074,0.194931,0.190346
1652735627769074,0.0719785,0.152649
1652735627871738,0.209934,-0.00672636
1652735628033340,0.209934,0.288975
1652735628085617,0.0749791,0
1652735628179352,-0,0.221189
1652735628287837,-0,0
1652735628390602,-0,0
1652735628567210,-0,0
1652735628594955,0.137956,0
1652735628699771,0.197932,0
1652735628832180,0.0719785,0
