timeStamp,goundSteering, group_14, time
1584543601538678,0,0,1849
1584543602240532,-0,0,724
1584543602340623,-0,0,998
1584543602438522,-0,0,838
1584543602539485,-0,0,611
1584543602641277,-0,0,685
1584543602737980,-0,0,797
1584543602837932,-0,0,643
1584543602937746,-0,0,830
1584543603037657,-0,0,610
1584543603144095,-0,0,1144
1584543603240807,-0,0,595
1584543603337661,-0,0,1258
1584543603437809,-0,0,1586
1584543603538544,-0,0,1655
1584543603639600,-0,0,662
1584543603737793,-0,0,1039
1584543603837501,-0,0,628
1584543603937598,-0,0,625
1584543604040350,-0,0,463
1584543604140075,-0,0,3020
1584543604237823,-0,0,952
1584543604337644,-0,0,1464
1584543604437705,-0,0,922
1584543604538070,-0,0,1180
1584543604639546,-0,0,1166
1584543604737739,-0,0,1734
1584543604840101,0.0329887,0,1147
1584543604937965,0.0809714,0,1477
1584543605037302,0.125962,0.206802,2945
1584543605139348,0.173945,0.188738,861
1584543605237422,0.0929737,0.201536,1547
1584543605337238,0.0779797,0.203162,2732
1584543605437522,0.0239958,0.203337,1424
1584543605538240,0.0179946,0,469
1584543605643226,0.0209952,0,862
1584543605737754,0.0209952,0.201406,1417
1584543605837370,0.0749791,0.206225,3141
1584543605937452,0.083972,0.201243,1418
1584543606037416,0.0150029,0.180407,947
1584543606139769,0.00900175,0.161375,1923
1584543606237049,0.0120023,0.159055,3484
1584543606337265,0.0569845,0.169692,3519
1584543606439417,0.098966,0.203791,1695
1584543606538861,0.125962,0.192048,3899
1584543606639140,0.125962,0.20054,4781
1584543606737260,0.128963,0.138453,1573
1584543606837061,0.128963,0.193358,869
1584543606936887,0.128963,0.125285,1205
1584543607037208,0.128963,0.178411,597
1584543607139115,0.125962,0.208516,602
1584543607237076,0.0809714,0.180682,1195
1584543607337001,0.0719785,0.148001,623
1584543607437062,0.0749791,0.210221,1306
1584543607537436,0.0749791,0.204567,3388
1584543607639169,0.11396,0.205707,1295
1584543607736785,0.11396,0.201318,1946
1584543607836792,0.116961,0.21039,1941
1584543607936984,0.170945,0.200621,1055
1584543608036719,0.140956,0.215749,802
1584543608138865,0.122962,0.202445,1776
1584543608236804,0.110968,0,1551
1584543608336699,0.0120023,0,1052
1584543608436737,-0,0,1208
1584543608537539,-0,0,879
1584543608638886,-0,0,1464
1584543608736934,-0,0,1668
1584543608837139,-0,0,2732
1584543608936872,-0,0,1708
1584543609036593,-0,0,1705
1584543609139285,-0,0,2214
1584543609236462,-0,0,1010
1584543609336435,-0,0,1926
1584543609436573,-0,0,2840
1584543609537050,-0,0,1440
1584543609638585,-0,0,1889
1584543609736530,-0,0,1621
1584543609836327,-0,0,789
1584543609936351,-0,0,2053
1584543610036535,-0,0,1521
1584543610142650,-0,0,809
1584543610236240,-0,0,1879
1584543610336514,-0.0119935,0,1704
1584543610436196,-0.0239869,-0.182496,599
1584543610536843,-0.0779708,-0.199597,1434
1584543610638469,-0.0779708,-0.20058,730
1584543610736399,-0.119952,-0.201837,1639
1584543610836378,-0.14994,-0.202734,2033
1584543610936345,-0.116952,0.0434509,610
1584543611036135,-0.0419816,0,2332
1584543611138309,-0.0209863,0,3779
1584543611236360,-0,0,1011
1584543611336049,-0,0,1487
1584543611436259,-0,0,729
1584543611537245,-0,0,1722
1584543611642414,-0,0,1642
1584543611738809,-0,0,1204
1584543611836445,0.0569845,0,1092
1584543611935956,0.0569845,0,3645
1584543612036423,0.0569845,0,609
1584543612138286,0.0779797,0,1457
1584543612235802,0.0779797,0.19448,1370
1584543612335811,0.0779797,0.202142,1235
1584543612435952,0.0779797,0.189988,1717
1584543612539278,0.0629856,0,806
1584543612638563,0.0629856,0,4159
1584543612736107,0.0629856,0,2195
1584543612835893,0.0629856,0,845
1584543612936228,0.0629856,0,2099
1584543613036198,0.0659773,0,1512
1584543613137765,0.0659773,0,1314
1584543613236147,0.0659773,0,2217
1584543613336228,0.0659773,0.206625,1467
1584543613435615,0.0659773,0.135224,1278
1584543613536987,0.0659773,0.172953,926
1584543613638647,0.0599851,0.191502,3573
1584543613735650,0.0599851,0.210822,799
1584543613835514,0.0599851,0,2750
1584543613935676,0.0599851,0.159352,599
1584543614035478,0.0629856,0.200349,1787
1584543614137498,0.0929737,0.18656,1659
1584543614235969,0.0929737,0.201379,2577
1584543614335878,0.083972,0.187429,936
1584543614435684,0.0719785,0.200922,1560
1584543614536572,0.0629856,0.200806,1145
1584543614637577,0.0749791,0.20017,1578
1584543614735649,0.122962,0.168597,1148
1584543614835899,0.15295,0.190639,1333
1584543614935364,0.0689779,0.204077,600
1584543615035709,0.0239958,0.158384,3144
1584543615137522,0.0239958,0,3177
1584543615235309,0.0239958,0,835
1584543615335545,0.0209952,0.130292,609
1584543615435456,0.0809714,0.18794,700
1584543615535926,0.107968,0.209101,635
1584543615637446,0.134955,0.20008,1823
1584543615735404,0.164943,0.20249,668
1584543615835267,0.170945,0.206269,3291
1584543615935304,0.170945,0,1022
1584543616035319,0.170945,0,2892
1584543616137393,0.161943,0,1327
1584543616238022,0.0209952,0,1472
1584543616335535,-0,-0.23025,680
1584543616435093,-0,-0.237933,2292
1584543616535743,-0,-0.238387,1155
1584543616637001,-0.140948,-0.269606,3285
1584543616735046,-0.290888,-0.292469,634
1584543616835079,-0.290888,-0.299646,1242
1584543616935167,-0,-0.298491,1424
1584543617034946,-0,-0.288517,1265
1584543617136873,-0,-0.275518,1296
1584543617235421,-0,-0.276299,2350
1584543617335148,-0,-0.273044,1909
1584543617434877,0.083972,0,599
1584543617535695,0.110968,0,1431
1584543617636797,-0,0,1627
1584543617734833,-0,0,796
1584543617834985,-0,0,4555
1584543617934791,-0,0,1553
1584543618034746,-0.18593,0,2907
1584543618136840,-0.122953,0,1174
1584543618234706,-0,0,1519
1584543618334692,-0,0,1090
1584543618437432,-0,0,1345
1584543618536348,-0,0,3132
1584543618636732,0.15595,0,1725
1584543618734878,0.281904,0,1531
1584543618834572,-0,0,1192
1584543618934850,-0,-0.24288,1102
1584543619035132,-0,0,1504
1584543619136699,-0,0.121619,4001
1584543619237285,-0.197923,0.0594537,1178
1584543619334789,-0,0.0408694,608
1584543619434498,-0,0,3317
1584543619535354,-0,0.219479,3678
1584543619636857,-0,0,3019
1584543619734420,0.131955,0,2070
1584543619834393,0.143957,0,1386
1584543619935009,0.0629856,0,923
1584543620034717,-0,0,1664
1584543620136150,-0,0,686
1584543620234725,-0,0,4438
1584543620334383,-0,0,6532
1584543620434269,-0,0,1302
1584543620535149,0.146949,0,1777
1584543620636147,0.176946,0.0919387,1460
1584543620734343,0.176946,0.0778565,1019
1584543620834371,0.173945,0.0836966,1563
1584543620934468,0.170945,0.0939475,2264
1584543621034392,0.146949,0.132552,2491
1584543621136481,-0,0.073939,1611
1584543621234401,-0.122953,0.0911751,883
1584543621334398,-0.245906,0,2018
1584543621434337,0.0239958,0.0956376,861
1584543621534814,0.137956,0.0979997,5531
1584543621635919,0.161943,0.0957067,1977
1584543621734482,0.134955,0.0959074,1182
1584543621834044,0.134955,0.0880542,3522
1584543621933970,0.122962,0.0617193,1870
1584543622034210,0.125962,0.0676473,3258
1584543622139386,0.125962,0.0725994,582
1584543622234467,0.125962,0.134075,4305
1584543622334111,0.125962,0.135338,1848
1584543622434218,0.125962,0.143452,1021
1584543622534688,0.125962,0.091487,2121
1584543622636439,0.122962,0.105798,840
1584543622733887,0.125962,0.127928,1256
1584543622833946,0.125962,0.13864,1173
1584543622934052,0.125962,0.143875,2033
1584543623033781,0.125962,0.154997,2844
1584543623136069,0.125962,0,1125
1584543623234327,0.128963,0,1001
1584543623333718,0.125962,0,801
1584543623433694,0.128963,0,1719
1584543623534546,0.119961,0,1175
1584543623639240,-0,0,4803
1584543623735309,-0,0,1365
1584543623833909,-0,0,1647
1584543623933812,-0,0,2755
1584543624033535,-0,0,760
1584543624136384,-0,-0.221241,1389
1584543624233578,-0,0,1984
1584543624334155,0.0599851,0,3341
1584543624433774,0.188939,0,2854
1584543624534240,-0,0,1899
1584543624636060,-0,0,631
1584543624734632,-0,0,2796
1584543624833861,-0,0,2449
1584543624933989,-0,0,2877
1584543625033517,-0,0,909
1584543625135753,0.224928,0,2515
1584543625233279,0.224928,0,654
1584543625333450,0.179937,0,1208
1584543625433229,-0,0,756
1584543625533918,-0,0,2151
1584543625635504,-0,0,1361
1584543625733185,-0,0,1422
1584543625833191,-0,0,4133
1584543625933388,-0,0,2289
1584543626033156,-0,0,2690
1584543626135882,-0,0,2078
1584543626233423,-0,0,3105
1584543626333022,-0,0,1011
1584543626433006,-0,0,1559
1584543626533954,-0,0,1352
1584543626638860,-0,0,1425
1584543626733648,-0,0,1327
1584543626833130,0.0359893,0,1220
1584543626932927,0.0659773,0,1145
1584543627032924,0.0239958,0,1610
1584543627135193,0.0239958,0,624
1584543627233844,0.0239958,0,1138
1584543627332954,0.0239958,0,1333
1584543627436016,0.0239958,0,971
1584543627533632,0.0209952,0,9801
1584543627635004,-0,0,1723
1584543627732961,-0,0,2806
1584543627833004,-0,0,728
1584543627932981,-0,0,1324
1584543628033035,-0,0,3142
1584543628134906,-0.00299171,0,1914
1584543628232821,-0.0329798,0,1917
1584543628332866,-0.116952,0,1102
1584543628432725,-0.0869637,0,1762
