timeStamp,goundSteering, group_14, time
1584543043449950,-0,0,1817
1584543043646723,-0,0,739
1584543043748238,-0,0,2712
1584543043845979,-0,0,620
1584543043945949,-0,0,594
1584543044046150,-0,0,672
1584543044145938,-0,0,602
1584543044248348,-0,0,581
1584543044349014,-0,0,925
1584543044445909,-0,0,818
1584543044545830,-0,0,627
1584543044646957,-0,0,601
1584543044747818,-0,0,1468
1584543044845795,-0,0,636
1584543044945957,-0,0,496
1584543045046597,-0,0,576
1584543045149389,-0,0,636
1584543045247983,-0,0,530
1584543045345771,-0,0.201649,519
1584543045445692,-0,0.201328,592
1584543045545908,0.0509833,0.206604,566
1584543045646290,0.0779797,0.198946,542
1584543045747715,0.0629856,0.201867,539
1584543045845870,0.0629856,0.201348,1093
1584543045945571,0.0599851,0.178411,576
1584543046045592,0.0599851,0.156176,664
1584543046146053,0.0629856,0.163911,708
1584543046247654,0.0599851,0.206531,616
1584543046345494,0.0629856,0.17506,1002
1584543046445878,0.0599851,0.134236,472
1584543046545911,0.0629856,0.146632,1923
1584543046649756,0.0629856,0.147293,587
1584543046747832,0.0629856,0.147677,583
1584543046845697,0.0629856,0.14801,600
1584543046945551,0.0809714,0.157667,635
1584543047045621,0.0959743,0.201678,892
1584543047145330,0.0929737,0.170212,596
1584543047247562,0.0959743,0.177329,577
1584543047345745,0.116961,0.176149,2719
1584543047448977,0.137956,0.171526,453
1584543047545844,0.0719785,0.175111,538
1584543047646347,0.0629856,0.200232,574
1584543047747604,0.0629856,0.198665,619
1584543047845561,0.0629856,0.206108,595
1584543047945544,0.134955,0.204905,550
1584543048045230,0.134955,0.204695,667
1584543048145195,0.134955,0.205633,579
1584543048252226,0.134955,0.213172,492
1584543048345883,0.131955,0.21879,878
1584543048445385,0.131955,0.224719,588
1584543048545503,0.134955,0.227523,2681
1584543048645857,0.134955,0,652
1584543048747544,0.0599851,0,488
1584543048845223,-0,0,3068
1584543048945060,-0.287896,0,574
1584543049045391,-0,0,589
1584543049145130,-0,0,590
1584543049247735,-0,0,471
1584543049345288,0.278903,0,536
1584543049445107,0.290888,0,584
1584543049545114,-0,0,630
1584543049645613,-0,0,1201
1584543049747678,-0,0,2658
1584543049844882,-0.290888,-0.12713,583
1584543049945066,-0.290888,-0.114207,674
1584543050045019,-0,-0.115689,783
1584543050144796,-0,-0.132888,627
1584543050247337,-0.0659685,-0.145092,722
1584543050345046,-0.122953,-0.159261,531
1584543050444744,-0,-0.166754,1661
1584543050544737,-0.0569756,-0.188435,603
1584543050645522,-0.134946,-0.199011,1569
1584543050747416,-0.116952,-0.201236,576
1584543050844637,-0.113951,-0.202139,582
1584543050944762,-0.14994,0,1783
1584543051044568,-0.137947,0,723
1584543051144538,-0,0,588
1584543051247572,0.0120023,0,622
1584543051344522,0.00900175,0,600
1584543051444478,0.0209952,0,538
1584543051544658,0.0120023,0,1508
1584543051645139,-0,0,514
1584543051746618,-0,0,558
1584543051844738,0.0389898,0,4454
1584543051944390,0.0479916,0,665
1584543052044325,-0,0,506
1584543052144497,0.0150029,0,521
1584543052246552,0.0120023,0,1907
