timeStamp,goundSteering, group_14, time
1584543401076709,0,0,4668
1584543401276965,-0,0,1973
1584543401377276,-0,0,605
1584543401476958,-0,0,603
1584543401580290,-0,0,1575
1584543401679196,-0,0,625
1584543401776777,-0,0,4430
1584543401876734,-0,0,672
1584543401977398,-0.014994,0,677
1584543402077358,-0.014994,0,699
1584543402179635,-0.014994,0,1108
1584543402276515,-0.014994,0,942
1584543402379030,-0.014994,0,562
1584543402477580,-0.0179858,0,2130
1584543402577043,-0.0179858,0,752
1584543402678372,-0.0179858,0,1419
1584543402776612,-0.0179858,0,902
1584543402876520,-0.0179858,0,630
1584543402976657,-0.014994,0,649
1584543403076847,-0.014994,0,840
1584543403178710,-0.0179858,0,617
1584543403276317,-0.0209863,0,644
1584543403376436,-0.0209863,0,858
1584543403476276,-0.0209863,0,1365
1584543403576878,-0.0209863,0,1331
1584543403678345,-0.0209863,0,1010
1584543403776207,-0.0209863,0,1042
1584543403876220,-0.0209863,0,2114
1584543403976735,-0.0209863,0,621
1584543404076539,-0.0209863,0,989
1584543404178470,-0.0209863,0,2338
1584543404276278,-0.0209863,0,1404
1584543404376139,-0.0209863,0,716
1584543404476661,-0.0209863,0,942
1584543404576891,-0.0209863,0,1583
1584543404678060,-0.0209863,0,1861
1584543404776011,-0.0209863,0,1190
1584543404876257,-0.0209863,0,1473
1584543404976332,-0.0209863,0,2007
1584543405075953,-0.0239869,0,3325
1584543405178436,-0.0239869,0,2252
1584543405276125,-0.0359804,0,1298
1584543405376138,-0.0719696,-0.165149,2506
1584543405476129,-0.0719696,-0.180168,1821
1584543405576852,-0.0719696,-0.199684,1835
1584543405677652,-0.0719696,-0.15478,3096
1584543405776443,-0.0719696,-0.160458,2541
1584543405875834,-0.0719696,-0.165903,1320
1584543405975806,-0.0719696,-0.0713075,615
1584543406078633,-0.0719696,-0.0829601,1207
1584543406177873,-0.0719696,-0.102668,1579
1584543406275741,-0.0719696,-0.118152,1969
1584543406375897,-0.0719696,-0.0901341,966
1584543406475694,-0.116952,-0.106547,1795
1584543406576420,-0.116952,-0.11119,823
1584543406677838,-0.116952,-0.138006,608
1584543406775743,-0.164934,-0.101502,593
1584543406878612,-0.179929,-0.115365,597
1584543406976092,-0.179929,-0.126192,1005
1584543407075683,-0.218918,-0.191878,607
1584543407177703,-0.251907,-0.160934,599
1584543407275899,-0.191931,-0.202964,1023
1584543407375504,-0.173936,-0.205845,3010
1584543407475486,-0.176937,-0.20868,663
1584543407576361,-0.155942,-0.206971,470
1584543407682219,-0.0779708,0,2108
1584543407776431,-0,0,6962
1584543407876197,-0,0,682
1584543407975406,0.0779797,0,892
1584543408075420,0.188939,0,3171
1584543408177772,-0,0,1501
