timeStamp,goundSteering, group_14, time
1584542901976078,0,0,2188
1584542902674047,0,0,717
1584542902775615,0,0,596
1584542902875941,0,0,603
1584542902973341,0,0,623
1584542903073559,0,0,637
1584542903173470,0,0,655
1584542903275335,0,0,2712
1584542903373892,0,0,3942
1584542903473243,0,0,687
1584542903573217,0,0,653
1584542903676744,0,0,1035
1584542903775273,0,0,617
1584542903873423,0,0,621
1584542903973577,0,0,622
1584542904073153,0,0,1995
1584542904173174,0,0,2447
1584542904275508,0,0,553
1584542904373184,0,0,1014
1584542904475625,0,0,620
1584542904573379,0,0,946
1584542904673871,0.0719785,0.199082,529
1584542904775115,0.0719785,0.20054,681
1584542904873158,0.0719785,0.186086,473
1584542904978991,0.0719785,0.13864,532
1584542905073144,0.0719785,0.153202,529
1584542905173099,0.0719785,0.159473,921
1584542905279460,0.0719785,0.175798,1833
1584542905376973,0.0749791,0.166446,524
1584542905473325,0.149949,0.178026,692
1584542905572814,0.149949,0.201803,1433
1584542905673642,0.131955,0.199159,484
1584542905775478,0.0929737,0.204326,491
1584542905872995,0.0659773,0.205284,452
1584542905972813,0.0599851,0,1170
1584542906072914,0.0569845,0,680
1584542906175966,0.0569845,0,596
1584542906275501,0.0749791,0,647
1584542906373155,0.0749791,0.155289,551
1584542906472786,0.0779797,0.200495,1133
1584542906572935,0.0779797,0,543
1584542906673772,0.0779797,0,579
1584542906774913,0.0779797,0,493
1584542906872686,0.101967,0,658
1584542906972834,0.11396,0,468
1584542907072776,0.110968,0,1433
1584542907172555,0.11396,0,831
1584542907274935,0.110968,0,866
1584542907372737,0.110968,0,528
1584542907472599,0.110968,0,847
1584542907573295,0.110968,0,625
1584542907676450,0.110968,0,676
1584542907775069,0,0,1434
1584542907872893,0,0,2285
1584542907972860,0,0,1722
1584542908072412,0,0,1368
1584542908172598,-0.113951,-0.152277,683
1584542908275075,0,-0.138006,534
1584542908372625,-0.0179858,-0.167432,549
1584542908472654,-0.0509744,-0.181509,589
1584542908572519,0,-0.200449,617
1584542908673095,0,-0.182349,884
1584542908774540,0,-0.196777,1411
1584542908873035,-0.0899643,-0.202448,682
1584542908972983,-0.143948,-0.204799,629
1584542909072821,-0.143948,-0.203845,660
1584542909172487,-0.18593,-0.208162,739
1584542909275191,-0.0899643,-0.210668,2831
1584542909372678,-0.0899643,-0.21123,763
1584542909472096,0,-0.21158,738
1584542909572446,0,0,875
1584542909672895,0,0,618
1584542909774217,0,0,593
1584542909871989,-0.0239869,0,621
1584542909972127,-0.14694,0,599
1584542910071965,0,0,676
1584542910171937,0,0,3112
1584542910274253,0,0,604
1584542910371900,0,0,625
1584542910471906,0.146949,0,2089
1584542910572090,0,0.201641,613
1584542910672539,0,0.178793,828
1584542910773997,0,0.200419,504
1584542910872002,0.161943,0.200484,615
1584542910971908,0.143957,0.207204,1503
1584542911072029,0.0929737,0.202435,510
1584542911171945,0.0569845,0.203596,3216
1584542911277650,0.0269964,0,575
1584542911372417,0.0179946,0,489
1584542911471938,0.0120023,0,591
1584542911571664,0.0599851,0,770
1584542911672751,0.0809714,0.208417,662
1584542911774742,0.0899731,0.207728,486
1584542911871626,0.206934,-0.32289,554
1584542911971804,0.236922,0.166086,645
1584542912074268,0.242914,0.203625,719
1584542912171933,0.0959743,0,700
1584542912273797,0.0179946,0,603
1584542912371724,0,0.209978,636
1584542912471506,0.0120023,0,2332
1584542912571466,0.0509833,0,633
1584542912672387,0.0509833,0,663
1584542912773661,0.00300058,0,628
1584542912871571,0.0239958,0,1288
1584542912971582,0.029997,0,611
1584542913071420,0.0120023,0,508
1584542913171331,0,0,873
1584542913273678,0,0,510
1584542913371675,0,0.118092,767
1584542913471300,0.131955,0.154108,687
1584542913573831,0.251916,0.138287,971
1584542913673214,0.290888,0.156146,592
1584542913773930,0.290888,0.149479,508
1584542913871575,0.185939,0.184481,465
1584542913971284,0,0.191184,482
1584542914071197,0,0,666
